,Assvie,Sexe,Age,Couple,Statmat,Nat,Dip,Occ,Work,Statpro,Herit,Pere,Mere,Gpp,Gpm,Evtgrav,Livep,Eplog,Epsal,Vmob,Livdf,Pel,Cel,Pep,Assdec,Retraite,Capi,Pea,Urbani,Zres,Nbenf,Logt,Terre,Dette,Detlog,Detvo
0,N,H,39,N,cel,fra,tec,ina,catC,priv,O,N,O,,,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
1,O,H,60,O,mar,fra,bac+5,ret,catA,priv,O,N,N,N,N,O,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,3,prop,N,N,N,N
2,O,F,60,O,mar,fra,bac+5,ret,catA,priv,O,N,O,N,N,O,O,O,N,N,O,O,N,O,N,N,N,N,U6,idf,3,prop,N,N,N,N
3,N,H,37,N,cel,fra,bac+5,act,catA,priv,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
4,N,H,27,N,cel,fra,bac+2,act,,ind,N,O,O,N,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
5,N,H,25,N,cel,fra,bac+5,act,catA,priv,N,O,O,O,O,N,O,N,N,N,O,N,N,N,N,O,N,N,U6,idf,0,loc,N,O,N,N
6,N,H,33,N,cel,fra,bac+5,act,catA,priv,O,O,O,N,O,N,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
7,N,F,43,O,mar,etr,sans,act,catC,priv,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,prop,N,N,N,N
8,N,F,67,N,veu,etr,,ina,catC,priv,N,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,prop,N,N,N,N
9,N,F,70,N,veu,fra,bac+5,act,,ind,O,N,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,O,U6,idf,2,prop,N,N,N,N
10,N,H,26,N,cel,fra,bac+5,act,catA,priv,O,O,O,O,O,O,O,N,O,N,O,N,N,N,N,O,N,N,U6,idf,0,loc,N,O,N,N
11,N,H,59,O,mar,nat,bac+5,act,catA,pub,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,loc,O,O,N,N
12,N,F,55,O,mar,fra,bac+2,act,catA,pub,O,N,O,N,N,N,O,O,N,O,O,O,N,N,N,N,N,N,U6,idf,1,loc,O,O,N,N
13,N,F,27,N,cel,fra,,ina,catA,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,loc,O,O,N,N
14,N,H,46,O,mar,nat,bacg,act,catC,priv,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,N,N
15,N,F,44,O,mar,nat,bacg,act,catC,priv,N,O,N,N,N,N,O,N,N,N,O,N,N,O,N,O,N,N,U6,idf,0,prop,N,O,N,N
16,N,H,69,O,mar,fra,cep,ret,emp,priv,N,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,prop,N,N,N,N
17,N,F,35,N,cel,fra,bac+5,act,catA,priv,O,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,O,N
18,O,H,82,O,mar,fra,bac+5,ret,catA,priv,O,N,N,N,N,N,O,O,N,O,O,O,O,N,N,N,N,O,U6,idf,1,prop,O,N,N,N
19,O,F,79,O,mar,fra,cep,ret,emp,priv,O,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,1,prop,O,N,N,N
20,N,F,56,N,cel,fra,bac+5,act,catA,pub,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
21,N,H,40,N,cel,fra,bac+5,act,catA,pub,N,O,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,prop,O,O,O,N
22,N,F,34,O,mar,fra,bac+5,act,catA,priv,N,O,N,N,N,N,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,0,prop,N,O,O,N
23,N,H,71,O,mar,fra,cep,ret,emp,priv,O,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,prop,N,O,N,O
24,N,F,32,N,cel,fra,bac+2,act,emp,pub,N,N,O,N,O,N,O,O,N,O,O,O,N,O,N,O,N,O,U6,idf,0,loc,N,N,N,N
25,N,F,51,O,mar,fra,bacg,act,emp,priv,N,N,O,N,N,N,O,N,O,O,O,N,N,N,N,N,N,O,U6,idf,0,loc,N,N,N,N
26,O,H,42,O,mar,fra,bac+5,act,,ind,O,N,O,N,N,O,O,O,N,O,O,O,N,N,N,O,N,O,U6,idf,0,prop,N,O,O,N
27,N,F,38,O,mar,fra,bac+5,act,emp,priv,N,O,O,N,O,O,N,N,O,N,N,N,N,N,N,O,N,N,U6,idf,0,prop,N,O,O,N
28,N,H,30,O,cel,fra,bac+5,act,catA,pub,N,O,O,O,O,N,N,O,N,N,N,O,N,N,N,N,N,N,U6,idf,0,loc,N,O,N,O
29,O,F,80,O,mar,fra,tec,ret,emp,pub,O,N,N,N,N,O,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,2,loc,N,N,N,N
30,N,H,63,O,mar,fra,bac+5,ret,catA,pub,N,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,O,U6,idf,2,loc,N,N,N,N
31,N,F,24,N,cel,etr,bac+2,ina,,,O,O,O,O,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
32,N,H,23,N,cel,nat,,ina,,,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,prop,N,O,O,N
33,N,H,40,O,cel,etr,bac+5,act,catA,priv,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
34,O,H,45,N,cel,fra,bac+5,act,catA,priv,N,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,O,N,N
35,N,F,81,N,veu,fra,bac+5,ret,catA,pub,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,loc,N,N,N,N
36,N,H,25,N,cel,fra,,act,emp,priv,N,,,,,,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,1,loc,O,N,N,N
37,N,F,24,N,cel,fra,,act,emp,priv,N,,,,,,O,O,N,N,O,O,N,N,N,O,N,N,U6,idf,1,loc,O,N,N,N
38,N,H,31,N,cel,fra,bac+5,ina,catA,priv,N,N,O,N,O,N,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,0,loc,N,N,N,N
39,N,H,57,O,mar,etr,bac+5,act,catA,priv,O,N,N,N,N,N,N,N,N,O,N,N,N,N,N,O,N,O,U6,idf,1,loc,N,O,N,N
40,N,F,45,O,mar,fra,bac+2,act,emp,priv,O,O,O,N,N,O,O,O,N,N,O,N,O,N,N,O,N,N,U6,idf,1,loc,N,O,N,N
41,O,F,75,N,cel,fra,sans,ret,catA,priv,N,N,N,N,N,O,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,0,prop,N,N,N,N
42,N,F,43,O,mar,fra,bac+2,ina,emp,priv,N,N,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
43,O,H,44,O,mar,fra,bepc,act,catA,priv,O,O,O,N,N,O,O,O,N,N,O,N,O,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
44,O,H,57,O,mar,etr,bac+5,act,,ind,N,N,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,prop,N,O,N,N
45,N,F,50,O,mar,fra,bac+5,act,catA,pub,N,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,2,prop,N,O,N,N
46,N,F,82,N,div,fra,bepc,ret,emp,priv,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,prop,N,N,N,N
47,N,F,49,O,mar,nat,bac+5,ina,,,N,N,O,N,N,O,N,O,N,N,N,O,N,O,N,N,N,N,U6,idf,0,loc,N,N,N,N
48,O,F,73,N,veu,nat,bac+5,ret,catA,pub,N,N,N,N,N,N,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,2,prop,N,N,N,N
49,N,F,49,O,mar,fra,bacg,ina,emp,pub,O,O,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,loc,N,O,N,N
50,N,H,57,O,mar,fra,bac+5,act,catA,pub,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,1,prop,N,O,O,N
51,N,F,56,O,mar,fra,bac+5,act,catA,pub,N,N,O,N,N,N,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,1,prop,N,O,O,N
52,N,F,25,O,cel,fra,bac+5,act,emp,priv,N,O,O,N,O,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
53,N,H,47,N,div,fra,bac+5,act,,ind,O,O,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,N,U6,idf,2,prop,N,N,N,N
54,N,H,57,O,mar,fra,bacg,act,emp,priv,O,N,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
55,O,F,65,O,mar,fra,,ret,emp,priv,N,N,N,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
56,O,F,66,N,cel,fra,bac+5,act,,ind,N,N,O,N,N,N,O,O,N,N,O,O,N,N,N,O,N,N,U6,idf,0,prop,N,N,N,N
57,N,F,29,N,cel,fra,bac+5,ina,emp,priv,O,N,O,N,O,N,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,0,prop,N,N,N,N
58,O,H,59,O,mar,fra,bac+2,act,Waut,priv,O,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,O,U6,idf,0,prop,N,N,N,N
59,O,H,52,N,cel,fra,bac+5,act,,ind,O,N,O,N,N,O,O,O,N,O,O,O,O,N,N,N,N,O,U6,idf,0,prop,N,N,N,N
60,O,H,45,O,mar,fra,bac+5,act,catA,priv,O,O,N,N,N,N,O,O,O,O,O,O,O,O,O,O,N,O,U6,idf,0,prop,O,O,N,N
61,N,H,52,N,div,fra,bac+5,act,catA,pub,N,N,O,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
62,N,H,56,O,mar,fra,bac+5,act,catA,priv,O,N,N,N,N,O,O,O,N,O,O,O,O,N,N,N,N,O,U6,idf,0,loc,N,N,N,N
63,N,F,31,N,cel,fra,bac+5,act,catB,priv,O,O,O,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
64,N,H,22,N,cel,fra,bac+2,act,emp,priv,N,O,O,O,O,N,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
65,N,H,27,O,cel,fra,bac+5,act,catA,pub,O,O,O,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
66,N,F,26,O,cel,fra,bac+5,act,catA,pub,O,O,O,O,O,N,O,O,N,N,O,N,O,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
67,O,H,73,N,veu,fra,bact,ret,catC,pub,O,N,N,N,N,O,O,O,N,O,O,O,N,N,N,N,N,O,U6,idf,4,prop,N,N,N,N
68,O,F,73,O,mar,fra,bacg,ret,catA,priv,O,N,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,O,U6,idf,2,prop,N,N,N,N
69,N,H,80,O,mar,fra,bac+5,ret,catA,priv,O,N,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,N,U6,idf,3,prop,O,N,N,N
70,N,F,23,N,cel,fra,bac+5,act,catA,pub,N,O,O,O,N,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
71,N,F,26,N,cel,fra,bac+5,act,catA,pub,N,O,O,O,O,N,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
72,N,F,38,O,mar,etr,cep,act,emp,priv,N,O,O,N,N,O,O,N,N,N,O,N,N,N,N,N,N,N,U6,idf,0,prop,N,N,N,N
73,N,H,28,N,cel,fra,bac+5,act,catA,priv,N,O,O,O,O,O,O,N,N,O,O,N,N,N,N,O,N,O,U6,idf,0,loc,N,N,N,N
74,N,F,21,N,cel,fra,bac+2,ina,,,N,N,O,N,N,N,O,O,N,N,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
75,O,H,60,O,mar,fra,bac+5,act,catA,priv,O,N,N,N,N,O,N,N,O,O,N,N,N,N,N,N,N,N,U6,idf,0,prop,N,O,N,N
76,O,F,54,O,mar,fra,bac+5,act,catC,priv,O,N,O,N,N,N,O,O,N,O,O,O,O,N,N,N,N,O,U6,idf,0,prop,N,O,N,N
77,N,H,73,O,mar,fra,bac+5,ret,catA,priv,O,N,N,N,N,O,O,O,N,O,O,O,O,O,N,N,N,N,U6,idf,0,loc,O,N,N,N
78,N,F,67,O,mar,fra,sans,ret,emp,priv,N,N,N,N,N,N,O,O,N,N,O,O,O,N,N,N,N,N,U6,idf,0,loc,O,N,N,N
79,N,F,56,O,mar,fra,bepc,ret,emp,pub,O,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,U6,idf,3,prop,O,O,N,O
80,O,H,53,O,mar,fra,bac+5,act,,ind,N,O,N,N,N,O,O,N,N,N,O,N,N,N,O,N,N,N,U6,idf,0,loc,N,O,N,O
81,O,F,44,O,mar,fra,bac+5,ina,emp,priv,O,O,O,O,N,N,O,O,N,N,O,O,O,N,N,N,N,N,U6,idf,0,loc,N,O,N,O
82,N,H,32,N,cel,fra,bac+5,act,catA,pub,N,O,O,N,N,O,O,O,N,O,O,O,N,N,N,N,N,N,U6,idf,0,loc,N,N,N,N
83,O,H,67,O,mar,fra,bac+5,ret,catA,pub,O,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,O,U6,idf,1,prop,O,N,N,N
84,N,F,60,O,mar,fra,bac+5,act,catA,pub,O,N,N,N,N,O,N,N,N,O,N,N,N,N,N,N,N,O,U6,idf,1,prop,O,N,N,N
85,N,F,64,N,cel,fra,bac+2,ret,catA,priv,N,O,N,N,N,O,O,O,O,O,O,O,N,N,N,N,N,O,U6,idf,0,prop,N,O,N,N
